"ID_DOL","IDDOL","地先名","No","規制条件","路線名","危険内容","迂回路","備考","S_TKY2JGD"
1,1,"県道 大崎加茂郷停車場線",0,"","","","","",0
2,2,"県道 大崎加茂郷停車場線",0,"","","","","",0
3,3,"新宮市南磐盾～新宮市熊野川町・田辺市境界",0,"通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 １６８号","落石、冠水の恐れ","","",0
4,4,"新宮市熊野川町・田辺市境界～田辺市本宮町土河屋（県境）",0,"通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６８号","落石、冠水の恐れ","","",0
5,5,"新宮市熊野川町宮井～新宮市熊野川町九重（県境）",0,"通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","",0
6,6,"新宮市熊野川町玉置口(県境）～新宮市熊野川町田戸（県境）",0,"通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","",0
7,7,"東牟婁郡北山村下尾井～東牟婁郡北山村小松",0,"通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","",0
8,8,"田辺市鮎川～田辺市中辺路町栗栖川",0,"通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石、崩土の恐れ","","区域外に情報板A型2基B型1基",0
9,9,"田辺市中辺路町栗栖川～田辺市中辺路町・本宮町境界",0,"通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石、崩土の恐れ","","",0
10,10,"田辺市中辺路町・本宮町境界～田辺市本宮町皆地",0,"通行止め：連続雨量160mm以上、時間雨量50mm以上","国道 ３１１号","落石の恐れ","","",0
11,11,"田辺市本宮町皆地～田辺市本宮町本宮",0,"通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石の恐れ","","",0
12,12,"伊都郡九度山町下古沢～伊都郡高野町矢立",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７０号","落石、崩土の恐れ","","",0
13,13,"海草郡紀美野町松瀬～海草郡紀美野町毛原宮",0,"通行止め：連続雨量120mm以上","国道 ３７０号","落石、崩土の恐れ","","",0
14,14,"海草郡紀美野町毛原宮～海草郡紀美野町長谷宮",0,"通行止め：連続雨量120mm以上","国道 ３７０号","落石、崩土の恐れ","","",0
15,15,"海草郡伊都郡界～伊都郡高野町矢立",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７０号","落石、崩土の恐れ","","",0
16,16,"橋本市向副～伊都郡高野町高野山",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","",0
17,17,"伊都郡高野町高野山～伊都郡かつらぎ町大字花園中南",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","",0
18,18,"伊都郡高野町高野山～伊都郡かつらぎ町大字花園箕峠",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","（県）高野天川線 野迫川村林道","高野龍神スカイライン",0
19,19,"伊都郡かつらぎ町大字花園箕峠～田辺市龍神村大熊",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７１号","落石、崩土の恐れ","","高野龍神スカイライン",0
20,20,"田辺市中辺路町小松原～田辺市中辺路町高原",0,"通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３７１号","落石、崩土の恐れ","","",0
21,21,"田辺市平瀬～田辺市合川",0,"通行止め：連続雨量160mm以上、時間雨量40mm以上","国道 ３７１号","落石、崩土の恐れ","","",0
22,22,"東牟婁郡古座川町平井～東牟婁郡古座川町湯の花",0,"通行止め：連続雨量180mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","（町）下露三河平井線","",0
23,23,"東牟婁郡古座川町三尾川～東牟婁郡古座川町一雨",0,"通行止め：連続雨量180mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","","",0
24,24,"東牟婁郡古座川町一雨～東牟婁郡串本町高富",0,"通行止め：連続雨量200mm以上、時間雨量45mm以上","国道 ３７１号","落石、崩土の恐れ","","",0
25,25,"海南市ひや水～海南市上谷",0,"通行止め：連続雨量80mm以上","国道 ４２４号","落石、崩土の恐れ","","",0
26,26,"海南市有田郡界～有田郡有田川町有原",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","",0
27,27,"田辺市龍神村小家～田辺市龍神村福井",0,"通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","",0
28,28,"田辺市龍神村福井～日高郡みなべ町清川",0,"通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","",0
29,29,"日高郡みなべ町清川～日高郡みなべ町西本庄",0,"通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２４号","落石、崩土の恐れ","","",0
30,30,"田辺市龍神村福井～田辺市龍神村柳瀬",0,"通行止め：連続雨量160mm以上、時間雨量30mm以上","国道 ４２５号","落石、崩土の恐れ","","",0
31,31,"田辺市龍神村湯本～和歌山県・奈良県界",0,"通行止め：連続雨量110mm以上、時間雨量30mm以上","国道 ４２５号","落石、崩土の恐れ","","",0
32,32,"和歌山県・大阪府界～伊都郡かつらぎ町平",0,"通行止め：連続雨量130mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","",0
33,33,"伊都郡高野町矢立～伊都郡高野町高野山",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","",0
34,34,"有田郡有田川町川口～有田郡有田川町二川",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","",0
35,35,"有田郡有田川町二川～有田郡有田川町清水",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","",0
36,36,"有田郡有田川町清水～有田郡伊都郡界",0,"通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ４８０号","落石、崩土の恐れ","","",0
