"ID_DOL","IDDOL","路線名","規制区間（","規制区間_1","規制開始日","規制終了日","方向区分","規制状況","規制原因","路面状況","路面状況詳","規制曜日","規制曜日詳","規制時間","規制時間詳","規制車両","規制車両詳","迂回路の有","迂回路","所管事務所","所管事務_1","施工業者","備考","IDDOL_1","FID_1","S_TKY2JGD","X","Y"
1693,1693,"主要地方道 田辺龍神線","田辺市中辺路町水上","みなべ町清川",20141202,"2015/03/20 17:00","上下","車長１０m以上及び車高３．８ｍ以上通行止","","","","","","終日","","","","有","龍神中辺路線","","西牟婁建設部","東宝建設株式会社","",1693,984,0,135.461901097,33.848453863
1698,1698,"一般県道 古座川熊野川線","新宮市熊野川町畝畑","新宮市熊野川町畝畑",20141208,"2015/03/02 16:00","上下","時間規制通行止","","","","日祝除く","","時間規制","9:00~12:00   13:00~16:00","緊急車両除く","","無","","","新宮建設部","(有)中川建設 / 谷地建設(株)","",1698,986,0,135.786781632,33.753960612
1699,1699,"一般県道 古座川熊野川線","新宮市熊野川町畝畑","新宮市熊野川町畝畑",20141208,"2015/03/02 16:00","上下","時間規制通行止","","","","日祝除く","","時間規制","9:00~12:00   13:00~16:00","緊急車両除く","","無","","","新宮建設部","(有)中川建設 / 谷地建設(株)","",1699,986,0,135.810837202,33.766198549
1700,1700,"一般県道 南平野下里停車場線","那智勝浦町南大居地内","那智勝浦町南大居地内",20141203,"2015/03/23 17:00","上下","通行止","","","","","","終日","","","","無","","","新宮建設部","(有)三浦建設","全幅1",1700,969,0,135.908017634,33.593217645
1701,1701,"一般県道 南平野下里停車場線","那智勝浦町南大居地内","那智勝浦町南大居地内",20141203,"2015/03/23 17:00","上下","通行止","","","","","","終日","","","","無","","","新宮建設部","(有)三浦建設","全幅1",1701,969,0,135.908202615,33.593160654
1702,1702,"一般国道 425号","田辺市龍神村小又川","奈良県境",20141225,"2015/03/31 23:59","","全面通行止","その他","その他","路面凍結・積雪の恐れ","","","終日","","","","無","","西牟婁建設部","","","",1702,622,0,135.572033963,33.951896431
1703,1703,"一般国道 425号","田辺市龍神村小又川","奈良県境",20141225,"2015/03/31 23:59","","全面通行止","その他","その他","路面凍結・積雪の恐れ","","","終日","","","","無","","西牟婁建設部","","","",1703,622,0,135.638904852,33.963711478
1706,1706,"主要地方道 御坊由良線","日高町志賀","日高町志賀",20141127,"2015/03/20 17:00","上下","通行止","","","","","","終日","","","","有","","","日高建設部","","",1706,973,0,135.096120207,33.948177063
1707,1707,"主要地方道 御坊由良線","日高町志賀","日高町志賀",20141127,"2015/03/20 17:00","上下","通行止","","","","","","終日","","","","有","","","日高建設部","","",1707,973,0,135.096319188,33.948456034
1710,1710,"一般国道 480号","かつらぎ町笠田中","かつらぎ町平",20141208,"未定","上下","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","凍結の恐れ",1710,1002,0,135.465636850,34.309978844
1711,1711,"一般国道 480号","かつらぎ町笠田中","かつらぎ町平",20141208,"未定","上下","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","凍結の恐れ",1711,1002,0,135.466873840,34.347684013
1714,1714,"一般県道 岩田保呂線","上富田町生馬","上富田町生馬",20130603,"2015/03/31 23:59","上下","３ｔ以上通行止","","","","","","終日","","緊急車両除く","","有","国道42号","","西牟婁建設部","株式会社共栄建設工業","",1714,161,0,135.428372314,33.688648436
1715,1715,"一般県道 岩田保呂線","上富田町生馬","上富田町生馬",20130603,"2015/03/31 23:59","上下","３ｔ以上通行止","","","","","","終日","","緊急車両除く","","有","国道42号","","西牟婁建設部","株式会社共栄建設工業","",1715,161,0,135.429326209,33.688781415
1720,1720,"主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町南平野",20141213,"2015/03/31 23:59","上下","チェーン規制","その他","路面凍結","","","","終日","","","","無","","新宮建設部","","","凍結の恐れ",1720,1006,0,135.892606004,33.667751712
1721,1721,"主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町南平野",20141213,"2015/03/31 23:59","上下","チェーン規制","その他","路面凍結","","","","終日","","","","無","","新宮建設部","","","凍結の恐れ",1721,1006,0,135.886707841,33.654423234
1722,1722,"主要地方道 かつらぎ桃山線","かつらぎ町志賀","かつらぎ町志賀",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1722,999,0,135.492927515,34.228548086
1723,1723,"主要地方道 かつらぎ桃山線","かつらぎ町志賀","かつらぎ町志賀",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1723,999,0,135.483219121,34.224724579
1726,1726,"一般県道 志賀三谷線","かつらぎ町三谷","かつらぎ町志賀",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1726,996,0,135.521983493,34.290690699
1727,1727,"一般県道 志賀三谷線","かつらぎ町三谷","かつらぎ町志賀",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1727,996,0,135.513200942,34.222026629
1728,1728,"主要地方道 堺かつらぎ線","かつらぎ町妙寺","かつらぎ町短野",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1728,995,0,135.522648419,34.298827688
1729,1729,"主要地方道 堺かつらぎ線","かつらぎ町妙寺","かつらぎ町短野",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1729,995,0,135.513545407,34.339310081
1730,1730,"一般国道 371号","橋本市向副","かつらぎ町花園中南",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1730,993,0,135.615261692,34.310105667
1731,1731,"一般国道 371号","橋本市向副","かつらぎ町花園中南",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1731,993,0,135.570593409,34.135459782
1732,1732,"一般国道 480号","かつらぎ町東渋田","高野町高野山",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1732,989,0,135.481454739,34.279194705
1733,1733,"一般国道 480号","かつらぎ町東渋田","高野町高野山",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1733,989,0,135.588138246,34.212749639
1734,1734,"主要地方道 高野口野上線","かつらぎ町下天野","かつらぎ町御所",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1734,997,0,135.514494336,34.258327429
1735,1735,"主要地方道 高野口野上線","かつらぎ町下天野","かつらぎ町御所",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1735,997,0,135.474444425,34.249511390
1736,1736,"一般国道 370号","九度山町九度山","かつらぎ町新城",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1736,988,0,135.564394081,34.288613192
1737,1737,"一般国道 370号","九度山町九度山","かつらぎ町新城",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1737,988,0,135.491624540,34.188768629
1738,1738,"一般国道 371号","橋本市市脇１丁目","河内長野市天見",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1738,987,0,135.601942841,34.314031861
1739,1739,"一般国道 371号","橋本市市脇１丁目","河内長野市天見",20141213,"2015/03/31 23:59","","チェーン規制","その他","路面凍結","","","","終日","","","","無","","伊都建設部","","","",1739,987,0,135.601667391,34.383486766
1742,1742,"一般県道 荒見粉河線","紀の川市粉河","紀の川市荒見",20141113,"2015/02/13 17:00","上下","片側規制","","","","日曜除く","","時間規制","9:00～17:00","","","有","新竜門橋","","那賀建設部","㈱中屋組、㈲廣畑塗装、シオジ塗装","",1742,961,0,135.408344171,34.266524614
1743,1743,"一般県道 荒見粉河線","紀の川市粉河","紀の川市荒見",20141113,"2015/02/13 17:00","上下","片側規制","","","","日曜除く","","時間規制","9:00～17:00","","","有","新竜門橋","","那賀建設部","㈱中屋組、㈲廣畑塗装、シオジ塗装","",1743,961,0,135.409694204,34.262558116
1756,1756,"一般県道 宿九度山線","九度山町市平","橋本市彦谷",20130923,"未定","","通行止","災害","路肩崩壊","","","","終日","","","","無","","伊都建設部","","","",1756,547,0,135.615354124,34.276581939
1757,1757,"一般県道 宿九度山線","九度山町市平","橋本市彦谷",20130923,"未定","","通行止","災害","路肩崩壊","","","","終日","","","","無","","伊都建設部","","","",1757,547,0,135.635423479,34.272634467
1758,1758,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来",20150105,"2015/03/31","上り","1車線規制","","","","","","終日","","","","無","","","那賀建設部","国土交通省","",1758,913,0,135.305868113,34.287162797
1759,1759,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来",20150105,"2015/03/31","上り","1車線規制","","","","","","終日","","","","無","","","那賀建設部","国土交通省","",1759,913,0,135.305145222,34.290307476
1760,1760,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来",20150105,"2015/03/31","下り","1車線規制","","","","","","終日","","","","無","","","那賀建設部","国土交通省","",1760,912,0,135.304960253,34.291864318
1761,1761,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来",20150105,"2015/03/31","下り","1車線規制","","","","","","終日","","","","無","","","那賀建設部","国土交通省","",1761,912,0,135.305878113,34.287771738
1762,1762,"一般県道 平瀬上三栖線","田辺市上野","田辺市上野",20150113,"2015/03/27 17:00","上下","全面通行止","","","","日祝除く","","時間規制","8時～17時","緊急車両除く","","有","市道","","西牟婁建設部","楠本重機","",1762,1018,0,135.468948137,33.769230083
